monotonic_s,rss_mb,phase
71.684,1807.6,cold
72.184,1811.6,cold
72.685,1815.6,cold
73.185,1817.6,cold
73.685,1819.6,cold
74.185,1823.6,cold
74.685,1827.6,cold
75.186,1829.6,cold
75.686,1833.6,cold
76.186,1837.6,cold
76.686,1841.6,cold
77.186,1845.6,cold
77.687,1847.6,cold
78.187,1851.6,cold
78.687,1855.6,cold
79.187,1859.6,cold
79.688,1863.6,cold
80.188,1867.6,cold
80.688,1871.6,cold
81.189,1873.6,cold
81.689,1877.6,cold
82.189,1881.6,cold
82.689,1885.6,cold
83.189,1889.6,cold
83.690,1891.6,cold
84.190,1895.6,cold
84.690,1897.6,cold
85.190,1901.6,cold
85.690,1903.6,cold
86.191,1907.6,cold
86.691,1911.6,cold
87.191,1913.6,cold
87.691,1915.6,cold
88.192,1919.6,cold
88.692,1921.6,cold
89.192,1925.6,cold
89.692,1927.6,cold
90.192,1933.6,cold
90.693,1935.6,cold
91.193,1939.6,cold
91.693,1943.6,cold
92.193,1947.6,cold
92.694,1951.6,cold
93.194,1953.6,cold
93.694,1957.6,cold
94.195,1963.6,cold
94.695,1965.6,cold
95.195,1967.6,cold
95.695,1971.6,cold
96.195,1975.6,cold
96.696,1977.6,cold
97.196,1983.6,cold
97.696,1985.6,cold
98.196,1989.6,cold
98.696,1991.6,cold
99.197,1995.6,cold
99.697,1999.6,cold
100.197,1999.6,cold
100.697,2003.6,cold
101.198,2007.6,cold
101.698,2009.6,cold
102.198,2013.6,cold
102.698,2015.6,cold
103.198,2019.6,cold
103.699,2023.6,cold
104.199,2025.6,cold
104.699,2029.6,cold
105.199,2033.6,cold
105.699,2037.6,cold
106.200,2039.6,cold
106.700,2043.6,cold
107.200,2049.6,cold
107.700,2051.6,cold
108.200,2055.6,cold
108.701,2059.6,cold
109.201,2063.6,cold
109.702,2065.6,cold
110.202,2069.6,cold
110.702,2073.6,cold
111.202,2075.6,cold
111.702,2079.6,cold
112.203,2081.6,cold
112.703,2085.6,cold
113.203,2087.6,cold
113.703,2089.6,cold
114.203,2091.6,cold
114.704,2095.6,cold
115.204,2099.6,cold
115.704,2101.6,cold
116.204,2103.6,cold
116.704,2107.6,cold
117.205,2111.6,cold
117.705,2111.6,cold
118.205,2115.6,cold
118.705,2119.6,cold
119.205,2121.6,cold
119.706,2123.6,cold
120.206,2127.6,cold
120.706,2131.6,cold
121.206,2135.6,cold
121.707,2139.6,cold
122.207,2143.6,cold
122.707,2147.6,cold
123.207,2149.6,cold
123.707,2153.6,cold
124.207,2157.6,cold
124.708,2161.6,cold
125.208,2165.6,cold
125.708,2167.6,cold
126.208,2173.6,cold
126.708,2177.6,cold
127.209,2179.6,cold
127.709,2183.6,cold
128.210,2187.6,cold
128.710,2191.6,cold
129.210,2193.6,cold
129.710,2195.6,cold
130.211,2199.6,cold
130.711,2201.6,cold
131.211,2205.6,cold
131.711,2207.6,cold
132.211,2211.6,cold
132.712,2215.6,cold
133.212,2215.6,cold
133.712,2219.6,cold
134.212,2223.6,cold
134.712,2227.6,cold
135.213,2231.6,cold
135.713,2233.6,cold
136.213,1830.8,cold
136.718,5289.3,cold
137.224,5596.8,cold
137.724,5549.7,cold
138.224,6350.7,cold
138.724,6392.3,cold
139.225,6072.0,cold
139.725,6081.3,cold
140.225,6046.5,cold
140.725,5970.1,cold
141.226,6605.8,cold
141.726,6524.1,cold
142.226,6552.5,cold
142.727,6036.3,cold
143.227,6041.8,cold
143.727,6045.3,cold
144.228,5980.9,cold
144.728,5876.0,cold
145.228,5897.7,cold
145.728,6039.2,cold
146.229,6476.1,cold
146.729,7520.2,cold
147.229,6355.0,cold
147.730,6752.1,cold
148.230,6962.2,cold
148.730,6655.2,cold
149.230,8192.4,cold
149.731,8381.9,cold
150.231,7453.6,cold
157.770,1298.2,cold
158.274,251.0,warm
158.774,505.9,warm
159.274,1543.6,warm
159.775,1551.6,warm
160.275,1551.6,warm
160.775,1551.6,warm
161.275,1449.6,warm
161.776,1505.6,warm
162.276,1551.6,warm
162.776,1551.6,warm
163.276,1551.6,warm
163.777,1431.6,warm
164.277,1549.6,warm
164.777,1551.6,warm
165.277,1551.6,warm
165.778,1389.3,warm
166.278,1491.6,warm
166.778,1545.6,warm
167.278,1551.6,warm
167.779,1551.6,warm
168.279,1409.6,warm
168.779,1471.6,warm
169.279,1551.6,warm
169.780,1551.6,warm
170.280,1551.6,warm
170.780,1407.6,warm
171.280,1519.6,warm
171.781,1551.6,warm
172.281,1551.6,warm
172.781,1551.6,warm
173.281,1398.0,warm
173.782,1296.9,warm
174.282,1296.9,warm
174.782,1551.9,warm
175.283,1569.6,warm
175.783,1571.6,warm
176.283,1571.6,warm
176.783,1437.6,warm
177.284,1561.6,warm
177.784,1571.6,warm
178.284,1571.6,warm
178.784,1445.6,warm
179.285,1539.6,warm
179.785,1571.6,warm
180.285,1571.6,warm
180.785,1443.6,warm
181.286,1543.6,warm
181.786,1571.6,warm
182.286,1571.6,warm
182.786,1443.6,warm
183.287,1565.6,warm
183.787,1571.6,warm
184.287,1571.6,warm
184.787,1451.6,warm
185.288,1569.6,warm
185.788,1571.6,warm
186.288,1571.6,warm
186.788,1431.6,warm
187.289,1561.6,warm
187.789,1571.6,warm
188.289,1571.6,warm
188.789,1418.0,warm
189.290,1652.6,warm
189.790,1685.6,warm
190.291,1689.6,warm
190.791,1691.6,warm
191.291,1695.6,warm
191.791,1701.6,warm
192.292,1703.6,warm
192.792,1707.6,warm
193.293,1711.6,warm
193.793,1715.6,warm
194.294,1717.6,warm
194.794,1721.6,warm
195.294,1725.6,warm
195.795,1729.6,warm
196.295,1733.6,warm
196.795,1735.6,warm
197.295,1739.6,warm
197.796,1741.6,warm
198.296,1745.6,warm
198.796,1747.6,warm
199.296,1751.6,warm
199.797,1755.6,warm
200.297,1755.6,warm
200.797,1759.6,warm
201.298,1763.6,warm
201.798,1765.6,warm
202.298,1767.6,warm
202.798,1771.6,warm
203.298,1777.6,warm
203.799,1779.6,warm
204.299,1783.6,warm
204.799,1787.6,warm
205.299,1791.6,warm
205.800,1793.6,warm
206.300,1797.6,warm
206.800,1801.6,warm
207.300,1805.6,warm
207.801,1807.6,warm
208.301,1811.6,warm
208.801,1817.6,warm
209.301,1819.6,warm
209.801,1823.6,warm
210.302,1827.6,warm
210.802,1831.6,warm
211.302,1833.6,warm
211.802,1835.6,warm
212.303,1839.6,warm
212.803,1841.6,warm
213.303,1843.6,warm
213.803,1847.6,warm
214.304,1851.6,warm
214.804,1853.6,warm
215.304,1855.6,warm
215.804,1859.6,warm
216.304,1861.6,warm
216.805,1865.6,warm
217.305,1867.6,warm
217.805,1873.6,warm
218.306,1875.6,warm
218.806,1879.6,warm
219.306,1883.6,warm
219.806,1887.6,warm
220.307,1891.6,warm
220.807,1893.6,warm
221.307,1897.6,warm
221.807,1901.6,warm
222.308,1905.6,warm
222.808,1907.6,warm
223.308,1913.6,warm
223.808,1917.6,warm
224.309,1919.6,warm
224.809,1923.6,warm
225.309,1927.6,warm
225.809,1931.6,warm
226.309,1931.6,warm
226.810,1935.6,warm
227.310,1939.6,warm
227.810,1941.6,warm
228.310,1945.6,warm
228.811,1947.6,warm
229.311,1951.6,warm
229.811,1953.6,warm
230.311,1955.6,warm
230.812,1959.6,warm
231.312,1963.6,warm
231.812,1965.6,warm
232.312,1969.6,warm
232.812,1973.6,warm
233.313,1977.6,warm
233.813,1981.6,warm
234.314,1983.6,warm
234.814,1989.6,warm
235.314,1991.6,warm
235.814,1995.6,warm
236.314,1999.6,warm
236.815,2003.6,warm
237.315,2007.6,warm
237.815,2009.6,warm
238.316,2013.6,warm
238.816,2017.6,warm
239.316,2019.6,warm
239.816,2023.6,warm
240.317,2027.6,warm
240.817,2029.6,warm
241.317,2031.6,warm
241.817,2035.6,warm
242.318,2037.6,warm
242.819,2039.6,warm
243.319,2043.6,warm
243.819,2045.6,warm
244.319,2049.6,warm
244.819,2051.6,warm
245.320,2055.6,warm
245.820,2059.6,warm
246.320,2061.6,warm
246.820,2065.6,warm
247.321,2069.6,warm
247.821,2073.6,warm
248.321,2075.6,warm
248.821,2079.6,warm
249.322,2085.6,warm
249.822,2087.6,warm
250.322,2091.6,warm
250.822,2095.6,warm
251.322,2097.6,warm
251.823,2101.6,warm
252.323,2105.6,warm
252.823,2109.6,warm
253.324,2113.6,warm
253.824,2115.6,warm
254.324,2119.6,warm
254.824,2123.6,warm
255.324,2123.6,warm
255.825,2127.6,warm
256.325,2129.6,warm
256.826,2131.6,warm
257.326,2133.6,warm
257.826,2137.6,warm
258.327,2139.6,warm
258.828,2143.6,warm
259.328,2147.6,warm
259.828,2147.6,warm
260.328,2151.6,warm
260.828,2155.6,warm
261.329,2159.6,warm
261.829,2161.6,warm
262.329,2165.6,warm
262.829,2169.6,warm
263.330,2173.6,warm
263.830,2177.6,warm
264.330,2181.6,warm
264.830,2185.6,warm
265.331,2187.6,warm
265.831,2191.6,warm
266.331,2195.6,warm
266.831,2199.6,warm
267.332,2203.6,warm
267.832,2205.6,warm
268.332,2211.6,warm
268.832,2213.6,warm
269.332,2217.6,warm
269.833,2219.6,warm
270.333,2223.6,warm
270.833,2225.6,warm
271.333,2227.6,warm
271.834,2231.6,warm
272.334,2235.6,warm
272.834,2237.6,warm
273.334,2239.6,warm
273.834,2243.6,warm
274.335,2245.6,warm
274.835,2247.6,warm
275.336,2251.6,warm
275.836,2253.6,warm
276.336,2257.6,warm
276.836,2259.6,warm
277.337,2265.6,warm
277.837,2269.6,warm
278.337,2271.6,warm
278.837,2275.6,warm
279.338,2279.6,warm
279.838,2281.6,warm
280.338,2285.6,warm
280.838,2289.6,warm
281.338,2293.6,warm
281.839,2295.6,warm
282.339,2299.6,warm
282.839,2305.6,warm
283.339,2307.6,warm
283.840,2309.6,warm
284.340,2313.6,warm
284.840,2317.6,warm
285.340,2319.6,warm
285.840,2323.6,warm
286.341,2325.6,warm
286.841,2329.6,warm
287.341,2331.6,warm
287.841,2335.6,warm
288.342,2337.6,warm
288.842,2339.6,warm
289.342,2343.6,warm
289.843,2347.6,warm
290.343,2349.6,warm
290.843,2351.6,warm
291.343,2355.6,warm
291.844,2359.6,warm
292.344,2363.6,warm
292.844,2365.6,warm
293.346,1318.2,warm
293.848,5406.2,warm
294.348,5406.4,warm
294.848,5616.2,warm
295.354,5635.4,warm
295.861,6544.8,warm
296.361,6677.7,warm
296.861,6479.3,warm
297.362,6659.9,warm
297.862,6469.6,warm
298.362,6302.9,warm
298.862,6108.1,warm
299.363,6061.9,warm
299.863,5914.5,warm
300.363,5952.0,warm
300.864,5925.3,warm
301.364,6003.3,warm
301.864,5952.0,warm
302.364,6082.4,warm
302.865,6056.8,warm
303.365,6315.4,warm
303.865,7653.1,warm
304.366,7655.7,warm
304.866,6407.1,warm
305.366,6931.8,warm
305.867,7123.5,warm
306.367,7016.5,warm
306.867,8167.6,warm
307.367,8372.3,warm
307.868,7486.7,warm
315.365,1304.0,warm
