monotonic_s,rss_mb,phase
0.001,17.4,startup
20.431,48.4,startup
20.938,55.5,startup
24.215,62.3,startup
29.845,62.5,startup
34.073,62.5,startup
36.909,62.5,startup
42.525,62.6,startup
46.738,62.6,startup
50.944,62.6,startup
53.754,62.6,startup
59.370,62.7,startup
65.018,62.7,startup
69.258,62.7,startup
74.864,62.8,startup
83.312,62.9,startup
88.967,62.9,startup
93.211,62.9,startup
103.297,63.0,startup
125.029,63.0,startup
146.637,63.0,startup
175.455,63.0,startup
211.356,63.0,startup
232.951,63.0,startup
254.484,63.0,startup
283.285,63.0,startup
304.852,63.0,startup
355.419,63.1,startup
376.997,63.1,startup
398.557,63.1,startup
427.331,63.1,startup
477.673,63.1,startup
499.286,63.1,startup
520.851,63.1,startup
542.413,63.1,startup
564.029,63.1,startup
592.820,63.1,startup
621.542,63.1,startup
643.080,63.1,startup
679.032,63.1,startup
707.837,63.1,startup
743.710,63.1,startup
765.204,63.1,startup
786.717,63.1,startup
808.257,63.1,startup
829.764,63.1,startup
851.296,63.1,startup
872.809,63.1,startup
901.435,63.1,startup
937.207,63.1,startup
972.998,63.1,startup
1008.777,63.1,startup
1044.575,63.1,startup
1080.374,63.1,startup
1116.176,63.2,startup
1151.973,63.2,startup
1187.769,63.2,startup
1223.571,63.2,startup
1259.368,63.2,startup
1295.162,63.2,startup
1330.954,63.2,startup
1366.771,63.2,startup
1381.153,63.2,startup
1402.708,63.2,startup
1424.267,63.2,startup
1453.024,63.2,startup
1474.567,63.2,startup
1496.079,63.3,startup
1517.585,63.3,startup
1539.151,63.4,startup
1560.741,63.4,startup
1582.335,63.4,startup
1603.930,63.4,startup
1639.918,63.4,startup
1668.703,63.4,startup
1697.491,63.4,startup
1719.094,63.4,startup
1740.694,63.4,startup
1762.297,63.4,startup
1783.859,63.4,startup
1805.393,63.4,startup
1826.924,63.4,startup
1848.448,63.4,startup
1869.995,63.4,startup
1891.515,63.4,startup
1913.049,63.4,startup
1941.747,63.4,startup
1970.443,63.4,startup
2006.393,63.4,startup
2028.020,63.4,startup
2056.924,63.4,startup
2092.985,63.4,startup
2121.847,63.4,startup
2150.703,63.4,startup
2179.560,63.4,startup
2208.401,63.4,startup
2237.298,63.4,startup
2266.113,63.5,startup
2294.920,63.5,startup
2316.513,63.5,startup
2345.299,63.5,startup
2374.087,63.5,startup
2402.801,63.5,startup
2424.272,63.5,startup
2445.740,63.5,startup
2474.370,63.5,startup
2495.841,63.5,startup
2524.523,63.5,startup
2567.560,63.5,startup
2603.429,63.5,startup
2639.331,63.5,startup
2653.649,63.5,startup
2675.129,63.5,startup
2696.619,63.5,startup
2718.104,63.5,startup
2746.845,63.5,startup
2782.758,63.5,startup
2825.874,63.6,startup
2883.366,63.6,startup
2912.143,63.6,startup
2933.706,63.6,startup
2962.378,63.6,startup
2991.070,63.6,startup
3012.564,63.6,startup
3041.321,63.6,startup
3070.108,63.6,startup
3098.875,63.6,startup
3120.475,63.6,startup
3149.244,63.6,startup
3177.882,63.6,startup
3199.351,63.6,startup
3227.982,63.6,startup
3256.616,63.6,startup
3285.285,63.6,startup
3306.888,63.6,startup
3328.517,63.6,startup
3350.108,63.6,startup
3378.959,63.6,startup
3407.777,63.6,startup
3436.608,63.6,startup
3465.481,63.6,startup
3501.425,63.6,startup
3522.964,63.6,startup
3544.470,63.7,startup
3565.968,63.7,startup
3587.464,63.7,startup
3608.962,63.7,startup
3651.975,63.7,startup
3673.448,63.7,startup
3702.102,63.7,startup
3730.812,63.7,startup
3752.348,63.7,startup
3773.875,63.7,startup
3788.211,63.7,startup
3824.002,63.7,startup
3852.647,63.8,startup
3866.953,63.8,startup
3902.746,64.0,startup
3931.381,64.0,startup
3945.697,64.0,startup
3960.014,64.0,startup
3974.338,64.0,startup
3988.662,64.0,startup
4010.139,64.0,startup
4038.772,64.0,startup
4053.080,64.0,startup
4074.618,64.0,startup
4088.944,64.0,startup
