monotonic_s,rss_mb,phase
4110.422,64.0,startup
4124.752,64.0,startup
4139.140,64.0,startup
4160.640,64.0,startup
4182.124,64.1,startup
4196.449,64.1,startup
4217.940,64.1,startup
4232.262,64.1,startup
4253.748,64.1,startup
4268.060,64.1,startup
4282.374,64.1,startup
4311.002,64.1,startup
4346.807,64.2,startup
4375.436,64.2,startup
4411.301,64.3,startup
4440.002,64.4,startup
4475.879,64.4,startup
4497.421,64.4,startup
4511.792,64.5,startup
4547.754,64.7,startup
4562.188,64.7,startup
4569.408,64.7,startup
4583.864,64.7,startup
4598.318,64.7,startup
4605.550,64.7,startup
4620.024,64.7,startup
4634.484,64.7,startup
4670.651,64.8,startup
4672.042,71.7,startup
4672.555,78.0,startup
4744.978,81.9,startup
4745.485,89.7,startup
4745.986,94.9,cold
4746.487,98.6,cold
4746.988,309.6,cold
4747.488,349.4,cold
4747.989,357.4,cold
4748.490,279.9,cold
4748.991,442.5,cold
4749.491,465.7,cold
4749.992,465.7,cold
4750.492,406.0,cold
4750.993,461.7,cold
4751.493,465.7,cold
4751.994,306.4,cold
4752.495,369.4,cold
4752.996,211.4,cold
4753.496,213.0,cold
4753.997,213.0,cold
4754.498,213.0,cold
4754.998,210.2,cold
4755.498,445.1,cold
4755.999,467.1,cold
4756.500,524.1,cold
4757.001,322.2,cold
4757.501,457.3,cold
4758.002,467.3,cold
4758.503,535.6,cold
4759.004,449.3,cold
4759.504,467.3,cold
4760.005,535.6,cold
4760.506,368.8,cold
4761.010,412.5,cold
4761.564,253.1,cold
4762.111,255.5,cold
4762.614,254.1,cold
4763.115,254.1,cold
4763.615,254.1,cold
4764.116,254.1,cold
4764.616,357.0,cold
4765.117,357.5,cold
4765.617,357.5,cold
4766.117,357.5,cold
4766.618,357.5,cold
4767.119,357.5,cold
4767.619,357.5,cold
4768.120,357.5,cold
4768.620,357.5,cold
4769.121,357.5,cold
4769.624,357.5,cold
4770.125,357.5,cold
4770.625,357.5,cold
4771.126,357.5,cold
4771.626,357.5,cold
4772.127,357.5,cold
4772.628,357.5,cold
4773.128,357.5,cold
4773.629,357.5,cold
4774.129,357.5,cold
4774.629,357.5,cold
4775.130,357.5,cold
4775.635,357.5,cold
4776.135,357.5,cold
4776.636,357.5,cold
4777.136,357.5,cold
4777.637,357.5,cold
4778.137,357.5,cold
4778.638,357.5,cold
4779.139,357.5,cold
4779.639,357.5,cold
4780.140,357.5,cold
4780.641,357.5,cold
4781.142,357.5,cold
4781.643,357.5,cold
4782.144,357.5,cold
4782.645,357.5,cold
4783.148,357.5,cold
4783.651,357.5,cold
4784.151,357.5,cold
4784.652,357.5,cold
4785.153,357.5,cold
4785.654,357.5,cold
4786.157,357.5,cold
4786.657,357.5,cold
4787.157,357.5,cold
4787.658,357.5,cold
4788.158,357.5,cold
4788.659,357.5,cold
4789.159,357.5,cold
4789.661,357.5,cold
4790.162,357.5,cold
4790.662,357.5,cold
4791.163,357.5,cold
4791.664,357.5,cold
4792.165,359.5,cold
4792.665,359.5,cold
4793.166,359.5,cold
4793.666,359.5,cold
4794.166,359.5,cold
4794.667,359.5,cold
4795.167,359.5,cold
4795.668,359.5,cold
4796.169,359.5,cold
4796.670,359.5,cold
4797.171,359.5,cold
4797.671,359.5,cold
4798.172,359.5,cold
4798.673,359.5,cold
4799.173,359.5,cold
4799.674,361.5,cold
4800.174,361.5,cold
4800.674,361.5,cold
4801.175,361.5,cold
4801.676,361.5,cold
4802.177,361.5,cold
4802.677,361.5,cold
4803.178,361.5,cold
4803.678,361.5,cold
4804.178,361.5,cold
4804.678,361.5,cold
4805.179,361.5,cold
4805.679,361.5,cold
4806.180,361.5,cold
4806.681,361.5,cold
4807.181,363.5,cold
4807.682,363.5,cold
4808.182,363.5,cold
4808.683,363.5,cold
4809.183,363.5,cold
4809.683,363.5,cold
4810.190,254.9,cold
4810.696,676.0,cold
4811.204,676.1,cold
4811.721,681.6,cold
4812.221,734.9,cold
4812.722,788.4,cold
4817.064,745.6,cold
4817.570,750.6,cold
4818.070,845.7,cold
4818.571,912.7,cold
4819.072,913.0,cold
4819.573,873.5,cold
4820.074,941.6,cold
4820.576,863.4,cold
4821.076,848.0,cold
4821.576,854.9,cold
4822.077,855.0,cold
4822.577,856.2,cold
4823.078,850.2,cold
4823.579,959.0,cold
4824.080,833.7,cold
4824.581,840.3,cold
4825.081,976.9,cold
4825.582,992.4,cold
4827.819,256.8,cold
4828.322,348.9,warm
4828.822,490.6,warm
4829.323,512.6,warm
4829.823,620.8,warm
4830.324,566.7,warm
4830.825,608.8,warm
4831.326,620.8,warm
4831.827,449.1,warm
4832.327,598.8,warm
4832.828,620.8,warm
4833.329,620.8,warm
4833.829,512.3,warm
4834.330,524.5,warm
4834.831,365.0,warm
4835.332,365.0,warm
4835.833,365.0,warm
4836.334,365.0,warm
4836.834,475.5,warm
4837.335,602.9,warm
4837.836,620.9,warm
4838.337,620.9,warm
4838.839,540.7,warm
4839.339,612.9,warm
4839.840,620.9,warm
4840.340,469.9,warm
4840.843,606.9,warm
4841.344,620.9,warm
4841.845,620.9,warm
4842.345,522.6,warm
4842.846,524.6,warm
4843.346,398.1,warm
4843.847,469.1,warm
4844.347,469.1,warm
4844.848,469.1,warm
4845.348,469.1,warm
4845.849,469.1,warm
4846.350,469.1,warm
4846.850,469.1,warm
4847.353,469.1,warm
4847.854,469.1,warm
4848.354,469.1,warm
4848.855,469.1,warm
4849.355,469.1,warm
4849.856,469.1,warm
4850.356,469.1,warm
4850.858,469.1,warm
4851.359,469.1,warm
4851.859,469.1,warm
4852.359,469.1,warm
4852.860,469.1,warm
4853.360,469.1,warm
4853.861,469.1,warm
4854.361,469.1,warm
4854.862,469.1,warm
4855.363,469.1,warm
4855.864,469.1,warm
4856.364,469.1,warm
4856.865,469.1,warm
4857.366,469.1,warm
4857.867,469.1,warm
4858.367,469.1,warm
4858.868,469.1,warm
4859.368,469.1,warm
4859.869,469.1,warm
4860.369,469.1,warm
4860.869,469.1,warm
4861.369,469.1,warm
4861.870,469.1,warm
4862.370,469.1,warm
4862.874,469.1,warm
4863.374,469.1,warm
4863.875,469.1,warm
4864.375,469.1,warm
4864.876,469.1,warm
4865.376,469.1,warm
4865.878,469.1,warm
4866.380,469.1,warm
4866.881,469.1,warm
4867.385,469.1,warm
4867.886,469.1,warm
4868.386,469.1,warm
4868.887,469.1,warm
4869.387,469.1,warm
4869.888,469.1,warm
4870.388,469.1,warm
4870.889,469.1,warm
4871.390,471.1,warm
4871.890,471.1,warm
4872.391,471.1,warm
4872.892,471.1,warm
4873.392,471.1,warm
4873.892,471.1,warm
4874.392,471.1,warm
4874.893,471.1,warm
4875.394,471.1,warm
4875.895,471.1,warm
4876.395,471.1,warm
4876.895,471.1,warm
4877.396,471.1,warm
4877.896,471.1,warm
4878.397,471.1,warm
4878.898,473.1,warm
4879.402,473.1,warm
4879.903,473.1,warm
4880.404,473.1,warm
4880.904,473.1,warm
4881.405,473.1,warm
4881.908,473.1,warm
4882.409,473.1,warm
4882.910,473.1,warm
4883.410,473.1,warm
4883.910,473.1,warm
4884.411,473.1,warm
4884.911,473.1,warm
4885.413,473.1,warm
4885.915,473.1,warm
4886.415,475.1,warm
4886.915,475.1,warm
4887.416,475.1,warm
4887.917,475.1,warm
4888.417,475.1,warm
4888.917,475.1,warm
4889.419,365.9,warm
4889.925,786.0,warm
4890.431,786.0,warm
4890.937,786.0,warm
4891.438,786.0,warm
4891.975,819.1,warm
4892.481,824.0,warm
4892.981,867.7,warm
4893.482,930.4,warm
4893.983,897.9,warm
4894.484,942.9,warm
4894.985,920.9,warm
4895.486,942.9,warm
4895.987,864.7,warm
4896.487,871.5,warm
4896.988,871.5,warm
4897.488,876.4,warm
4897.989,876.4,warm
4898.490,977.8,warm
4898.990,978.6,warm
4899.491,854.6,warm
4899.992,881.7,warm
4900.493,991.0,warm
4900.993,368.0,warm
4903.060,258.8,done
