radials,build,arm,round,segments,cold_s,warm_s,rss_mb,tracemalloc_mb,z_re,z_im,failed,note
113,x13,x13#3,1,,88.6223,88.6138,607.4,,42.014,25.21,0,
113,momwire,momwire#4,1,6134,77.8217,75.6514,4997.3,4917.4,42.3015,27.0595,0,
113,momwire,momwire#0,2,6134,77.8323,75.5259,4968.5,4917.4,42.3015,27.0595,0,
113,x13,x13#1,2,,88.5827,88.4604,607.6,,42.014,25.21,0,
113,3b75639,3b75639#2,2,,16.568,16.2893,621.0,,42.014,25.21,0,
113,x13,x13#3,2,,88.5999,88.6049,607.6,,42.014,25.21,0,
113,momwire,momwire#4,2,6134,77.8213,75.6471,4969.2,4917.4,42.3015,27.0595,0,
120,momwire,momwire#0,1,6512,87.115,84.8176,5586.6,5540.0,42.2527,26.9721,0,
120,x13,x13#1,1,,100.3186,100.323,681.6,,41.965,25.123,0,
120,3b75639,3b75639#2,1,,18.6664,18.6564,695.6,,41.965,25.123,0,
120,x13,x13#3,1,,100.5483,100.7486,681.7,,41.965,25.123,0,
120,momwire,momwire#4,1,6512,86.8788,84.3461,5625.9,5540.0,42.2527,26.9721,0,
120,momwire,momwire#0,2,6512,86.799,84.5789,5586.2,5540.0,42.2527,26.9721,0,
120,x13,x13#1,2,,100.3403,100.3776,681.6,,41.965,25.123,0,
120,3b75639,3b75639#2,2,,18.6759,18.7344,695.8,,41.965,25.123,0,
120,x13,x13#3,2,,100.5459,100.4879,681.6,,41.965,25.123,0,
120,momwire,momwire#4,2,6512,86.9584,84.4055,5622.3,5540.0,42.2527,26.9721,0,
150,momwire,momwire#0,1,8132,164.449,162.2107,8568.1,8633.8,42.0955,26.698,0,
150,x13,x13#1,1,,,,1017.8,,,,1,harness timeout 120 s
150,3b75639,3b75639#2,1,,30.1935,30.1409,1065.0,,41.809,24.849,0,
150,x13,x13#3,1,,,,1017.6,,,,1,harness timeout 120 s
150,momwire,momwire#4,1,8132,165.2943,162.1551,8568.0,8633.8,42.0955,26.698,0,
150,momwire,momwire#0,2,8132,164.9632,161.9183,8567.8,8633.8,42.0955,26.698,0,
150,x13,x13#1,2,,,,1017.8,,,,1,harness timeout 120 s
150,3b75639,3b75639#2,2,,30.0858,30.1568,1065.4,,41.809,24.849,0,
150,x13,x13#3,2,,,,1017.5,,,,1,harness timeout 120 s
150,momwire,momwire#4,2,8132,164.9394,161.7892,8567.7,8633.8,42.0955,26.698,0,
150,x13,supplementary#1,1,8132,160.1919,160.0446,,,41.809,24.849,0,timeout raised to 900 s; NOT part of the verbatim ladder
150,x13,supplementary#2,2,8132,160.0231,159.8187,,,41.809,24.849,0,timeout raised to 900 s; NOT part of the verbatim ladder
